Search Query,Bike Name,Price,Section Title,Section Data
Honda bike,Honda Shine,"Rs.2,752",Underpinnings,"{'Suspension Front': 'Telescopic', 'Suspension Rear': 'Hydraulic Type', 'Brakes Front': 'Disc', 'Brakes Rear': 'Drum', 'Tyre Size': 'Front :-80/100-18, Rear :- 80/100-18', 'Wheel Size': 'Front :-457.2 mm,Rear :-457.2 mm', 'Wheels Type': 'Alloy', 'Frame': 'Diamond', 'Tubeless Tyre': 'Tubeless'}"
Honda bike,Honda Activa 125,"Rs.2,752",Engine and Transmission,"{'Engine Type': '4 Stroke, BS-VI Engine', 'Displacement': '124 cc', 'Max Torque': '10.4 Nm @ 5000 rpm', 'No. of Cylinders': '1', 'Cooling System': 'Air Cooled', 'Valve Per Cylinder': '2', 'Starting': 'Self Start Only,Remote Start', 'Fuel Supply': 'Fuel Injection', 'Clutch': 'Automatic', 'Gear Box': 'CVT', 'Bore': '50 mm', 'Stroke': '63.113 mm', 'Compression Ratio': '10.0:1', 'Emission Type': 'bs6-2.0'}"
Honda bike,Honda Activa 125,"Rs.2,752",Features,"{'Instrument Console': 'Digital', 'Speedometer': 'Digital', 'Tripmeter': 'Digital', 'Odometer': 'Digital', 'Shutter Lock': 'Yes', 'Additional Features Of Variant': 'Seat Length - 712 mm, Viscous paper filter, Glove box, Position lamp, Smart find, Smart safe, Smart unlock,', 'Seat Type': 'Single', 'Passenger Footrest': 'Yes', 'Carry hook': 'Yes', 'Underseat storage': 'Yes', 'Average Fuel economy Indicator': 'Yes', 'Distance to Empty Indicator': 'Yes'}"
Honda bike,Honda Activa 125,"Rs.2,752",Features and Safety,"{'Shutter Lock': 'Yes', 'Seat Opening Switch': 'Yes', 'Speedometer': 'Digital', 'External Fuel Filling': 'Yes', 'Odometer': 'Digital', 'Tripmeter': 'Digital', 'Fuel Gauge': 'Digital', 'Pass Switch': 'Yes', 'Additional Features': 'Seat Length - 712 mm, Viscous paper filter, Glove box, Position lamp, Smart find, Smart safe, Smart unlock,', 'Carry Hook': 'Yes', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes', 'Real Time Mileage Indicator': 'Yes'}"
Honda bike,Honda Activa 125,"Rs.2,752",Mileage and Performance,"{'ARAI Mileage': '60 kmpl', 'City Mileage': '51.23 kmpl', 'Highway Mileage': '66.8 kmpl', 'Acceleration (0-80 Kmph)': '15.60 s', 'Quarter Mile': '22.90 s @ 90.25 kmph', 'Braking (60-0 Kmph)': '18.94m'}"
Honda bike,Honda Activa 125,"Rs.2,752",Dimensions and Capacity,"{'Width': '707 mm', 'Length': '1850 mm', 'Height': '1170 mm', 'Fuel Capacity': '5.3 L', 'Ground Clearance': '162 mm', 'Wheelbase': '1260 mm', 'Kerb Weight': '109 kg', 'Additional Storage': 'Yes'}"
Honda bike,Honda Activa 125,"Rs.2,752",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'Bulb', 'LED Tail Lights': 'Yes', 'Low Fuel Indicator': 'Yes', 'Distance to Empty Indicator': 'Yes', 'Average Fuel economy Indicator': 'Yes', 'Pilot Lamps': 'Yes'}"
Honda bike,Honda Activa 125,"Rs.2,752",Tyres and Brakes,"{'Front Brake Diameter': '190 mm', 'Rear Brake Diameter': '130 mm', 'Front Tyre Pressure (Rider)': '22 psi', 'Front Tyre Pressure (Rider & Pillion)': '22 psi', 'Rear Tyre Pressure (Rider)': '29 psi', 'Rear Tyre Pressure (Rider & Pillion)': '36 psi'}"
Honda bike,Honda Activa 125,"Rs.2,752",Performance,"{'0-40 Kmph (sec)': '4.07 s', 'Top Speed': '94 kmph'}"
Honda bike,Honda Activa 125,"Rs.2,752",Motor & Battery,"{'Peak Power': '8.30 PS @ 6250 rpm', 'Drive Type': 'Belt Drive', 'Battery Capacity': '12V / 5AH', 'Transmission': 'Automatic'}"
Honda bike,Honda Activa 125,"Rs.2,752",Underpinnings,"{'Suspension Front': 'Telescopic', 'Suspension Rear': '3-Step Adjustable Spring Loaded Hydraulic', 'Brakes Front': 'Disc', 'Brakes Rear': 'Drum', 'Tyre Size': 'Front :-90/90-12 Rear :-90/100-10', 'Wheel Size': 'Front :-304.8 mm,Rear :-254 mm', 'Wheels Type': 'Alloy', 'Frame': 'Under Bone', 'Tubeless Tyre': 'Tubeless'}"
