Search Query,Bike Name,Price,Section Title,Section Data
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'LED', 'Projector Headlights': 'Yes', 'LED Tail Lights': 'Yes', 'Low Oil Indicator': 'Yes', 'Low Fuel Indicator': 'Yes', 'Pilot Lamps': 'Yes'}"
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Motor & Battery,"{'Peak Power': '190 PS @ 9700 rpm', 'Drive Type': 'Chain Drive', 'Transmission': 'Manual'}"
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Underpinnings,"{'Suspension Front': 'Inverted Telescopic, Coil Spring, Oil Damped', 'Suspension Rear': 'Link Type, Coil Spring, Oil Damped', 'Brakes Front': 'Double Disc', 'Brakes Rear': 'Disc', 'ABS': 'Dual Channel', 'Tyre Size': 'Front :-120/70-ZR17, Rear :-190/50-ZR17', 'Wheel Size': 'Front :-431.8 mm,Rear :-431.8 mm', 'Wheels Type': 'Alloy', 'Tubeless Tyre': 'Tubeless'}"
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",Engine and Transmission,"{'Engine Type': '4-Cycle, 1-cylinder, Air cooled', 'Displacement': '155 cc', 'Max Torque': '13.8 Nm @ 6000 rpm', 'No. of Cylinders': '1', 'Cooling System': 'Air Cooled', 'Valve Per Cylinder': '2', 'Starting': 'Self Start Only', 'Fuel Supply': 'Fuel Injection', 'Gear Box': '5 Speed', 'Bore': '56 mm', 'Stroke': '62.9 mm', 'Emission Type': 'bs6-2.0'}"
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",Features,"{'Instrument Console': 'Digital', 'Bluetooth Connectivity': 'Bluetooth', 'Navigation': 'Yes', 'Call/SMS Alerts': 'Yes', 'Speedometer': 'Digital', 'Techometer': 'Digital', 'Tripmeter': 'Digital', 'Odometer': 'Digital', 'Additional Features Of Variant': 'Twin Muffler, Side Stand Interlock, ETA Updates, Phone Battery Level Display, Miss Call Alert and Whatsup Alert, Turn-by-Turn Navigation', 'Seat Type': 'Split', 'Clock': 'Yes', 'Stepup Seat': 'Yes', 'Passenger Footrest': 'Yes'}"
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",Features and Safety,"{'Pass Switch': 'Yes', 'Clock': 'Yes', 'Adjustable Windscreen': 'Yes', 'Additional Features': 'Twin Muffler, Side Stand Interlock, ETA Updates, Phone Battery Level Display, Miss Call Alert and Whatsup Alert, Turn-by-Turn Navigation', 'Stepup Seat': 'Yes', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes'}"
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",Mileage and Performance,{'Overall Mileage': '45 kmpl'}
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",Chassis and Suspension,{'Body Type': 'Sports Bikes'}
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",Dimensions and Capacity,"{'Width': '715 mm', 'Length': '2025 mm', 'Height': '1035 mm', 'Fuel Capacity': '12 L', 'Saddle Height': '795 mm', 'Ground Clearance': '165 mm', 'Wheelbase': '1340 mm', 'Kerb Weight': '148 kg'}"
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'LED', 'LED Tail Lights': 'Yes', 'Low Fuel Indicator': 'Yes'}"
